election_year	check	lfd_nr	field	observed	expected	difference
1966	party_identity	65	valid_votes	79078	79078	0
1966	ballot_identity	66	number_voters	34226	34226	0
1966	party_identity	66	valid_votes	33678	33678	0
1966	ballot_identity	67	number_voters	98418	98418	0
1966	party_identity	67	valid_votes	96371	96371	0
1966	ballot_identity	68	number_voters	52185	52185	0
1966	party_identity	68	valid_votes	51496	51496	0
1966	ballot_identity	69	number_voters	82071	82071	0
1966	party_identity	69	valid_votes	80773	80773	0
1966	ballot_identity	70	number_voters	46857	46857	0
1966	party_identity	70	valid_votes	46266	46266	0
1966	ballot_identity	71	number_voters	106980	106980	0
1966	party_identity	71	valid_votes	105281	105281	0
1966	ballot_identity	72	number_voters	70795	70795	0
1966	party_identity	72	valid_votes	70004	70004	0
1966	ballot_identity	73	number_voters	24212	24212	0
1966	party_identity	73	valid_votes	23811	23811	0
1966	ballot_identity	74	number_voters	87270	87270	0
1966	party_identity	74	valid_votes	86486	86486	0
1966	ballot_identity	75	number_voters	926225	926225	0
1966	party_identity	75	valid_votes	912341	912341	0
1966	ballot_identity	76	number_voters	198022	198022	0
1966	party_identity	76	valid_votes	196339	196339	0
1966	ballot_identity	77	number_voters	46461	46461	0
1966	party_identity	77	valid_votes	46059	46059	0
1966	ballot_identity	78	number_voters	356557	356557	0
1966	party_identity	78	valid_votes	353536	353536	0
1966	ballot_identity	79	number_voters	104335	104335	0
1966	party_identity	79	valid_votes	103288	103288	0
1966	ballot_identity	80	number_voters	39124	39124	0
1966	party_identity	80	valid_votes	38691	38691	0
1966	ballot_identity	81	number_voters	61397	61397	0
1966	party_identity	81	valid_votes	60846	60846	0
1966	ballot_identity	82	number_voters	29944	29944	0
1966	party_identity	82	valid_votes	29695	29695	0
1966	ballot_identity	83	number_voters	30743	30743	0
1966	party_identity	83	valid_votes	30322	30322	0
1966	ballot_identity	84	number_voters	40457	40457	0
1966	party_identity	84	valid_votes	40080	40080	0
1966	ballot_identity	85	number_voters	23721	23721	0
1966	party_identity	85	valid_votes	23425	23425	0
1966	ballot_identity	86	number_voters	56076	56076	0
1966	party_identity	86	valid_votes	55571	55571	0
1966	ballot_identity	87	number_voters	46210	46210	0
1966	party_identity	87	valid_votes	45828	45828	0
1966	ballot_identity	88	number_voters	57075	57075	0
1966	party_identity	88	valid_votes	56491	56491	0
1966	ballot_identity	89	number_voters	90149	90149	0
1966	party_identity	89	valid_votes	89025	89025	0
1966	ballot_identity	90	number_voters	76016	76016	0
1966	party_identity	90	valid_votes	75204	75204	0
1966	ballot_identity	91	number_voters	41245	41245	0
1966	party_identity	91	valid_votes	40502	40502	0
1966	ballot_identity	92	number_voters	148759	148759	0
1966	party_identity	92	valid_votes	146950	146950	0
1966	ballot_identity	93	number_voters	106596	106596	0
1966	party_identity	93	valid_votes	105439	105439	0
1966	ballot_identity	94	number_voters	53205	53205	0
1966	party_identity	94	valid_votes	52726	52726	0
1966	ballot_identity	95	number_voters	43538	43538	0
1966	party_identity	95	valid_votes	42990	42990	0
1966	ballot_identity	96	number_voters	54545	54545	0
1966	party_identity	96	valid_votes	53880	53880	0
1966	ballot_identity	97	number_voters	87671	87671	0
