ags	source_page	source_row	field	printed_percentage	method
01051016	19	18	dkp	0.1	ocr
01051016	19	18	gruene	4.4	ocr
01051017	18	19	without_certificate	91.6	ocr
01051017	18	19	with_certificate	8.4	ocr
01051017	18	19	number_voters	78.6	ocr
01051017	18	19	invalid_votes	0.6	ocr
01051017	19	19	spd	36.3	ocr
01051017	19	19	gruene	1.2	ocr
01051019	18	20	without_certificate	93.7	ocr
01051019	18	20	with_certificate	6.3	ocr
01051019	18	20	number_voters	80.8	visual
01051019	18	20	invalid_votes	0.2	ocr
01051019	19	20	spd	20.6	ocr
01051019	19	20	fdp	0.9	ocr
01051019	19	20	gruene	1.5	ocr
01051020	18	21	without_certificate	95.1	ocr
01051020	18	21	with_certificate	4.9	ocr
01051020	18	21	number_voters	78.3	ocr
01051020	18	21	invalid_votes	0.2	ocr
01051020	19	21	spd	32.4	ocr
01051020	19	21	fdp	2.3	ocr
01051020	19	21	dkp	0.2	ocr
01051020	19	21	gruene	1.8	ocr
01051021	18	22	without_certificate	93.9	ocr
01051021	18	22	with_certificate	6.1	ocr
01051021	18	22	number_voters	80.3	ocr
01051021	18	22	invalid_votes	0.3	ocr
01051021	19	22	fdp	0.3	ocr
01051021	19	22	gruene	3.7	ocr
01051022	18	23	without_certificate	94.6	ocr
01051022	18	23	number_voters	77.5	ocr
01051022	18	23	invalid_votes	0.8	ocr
01051022	19	23	spd	47.9	ocr
01051022	19	23	fdp	1.1	ocr
01051022	19	23	gruene	2.5	ocr
01051023	18	24	without_certificate	95.0	ocr
01051023	18	24	with_certificate	5.0	ocr
01051023	18	24	number_voters	78.0	ocr
01051023	18	24	invalid_votes	1.2	ocr
01051023	19	24	spd	29.8	ocr
01051023	19	24	fdp	0.9	ocr
01051023	19	24	ssw	0.3	ocr
01051023	19	24	gruene	3.0	ocr
01051024	18	25	without_certificate	92.5	ocr
01051024	18	25	with_certificate	7.5	ocr
01051024	18	25	number_voters	73.4	ocr
01051024	18	25	invalid_votes	0.4	ocr
01051024	19	25	spd	41.6	ocr
01051024	19	25	fdp	1.6	ocr
01051024	19	25	gruene	3.0	ocr
01051026	20	1	without_certificate	96.3	ocr
01051026	20	1	with_certificate	3.7	ocr
01051026	20	1	number_voters	81.2	ocr
01051026	20	1	invalid_votes	0.2	ocr
01051026	21	1	spd	30.8	ocr
01051026	21	1	fdp	0.9	ocr
01051026	21	1	dkp	0.2	ocr
01051026	21	1	gruene	3.7	ocr
01051027	20	2	without_certificate	93.8	ocr
01051027	20	2	with_certificate	6.2	ocr
01051027	20	2	number_voters	82.0	ocr
01051027	20	2	invalid_votes	0.2	ocr
01051027	21	2	spd	35.6	ocr
01051027	21	2	fdp	1.8	ocr
01051027	21	2	gruene	2.0	ocr
01051028	20	3	without_certificate	96.2	ocr
01051028	20	3	with_certificate	3.8	ocr
01051028	20	3	number_voters	85.0	ocr
01051028	21	3	spd	35.1	ocr
01051028	21	3	fdp	2.7	ocr
01051028	21	3	gruene	2.5	ocr
01051030	20	4	without_certificate	91.7	ocr
01051030	20	4	with_certificate	8.3	ocr
01051030	20	4	number_voters	81.9	ocr
01051030	21	4	spd	29.9	ocr
01051030	21	4	fdp	1.2	ocr
01051030	21	4	gruene	2.4	ocr
01051032	20	5	without_certificate	94.3	ocr
01051032	20	5	with_certificate	5.7	ocr
01051032	20	5	number_voters	90.2	ocr
01051032	20	5	invalid_votes	0.4	ocr
01051032	21	5	spd	38.6	ocr
01051032	21	5	fdp	1.5	ocr
01051032	21	5	gruene	3.0	ocr
01051033	20	6	without_certificate	92.8	ocr
01051033	20	6	number_voters	85.5	ocr
01051033	21	6	cdu	44.1	ocr
01051033	21	6	fdp	5.1	ocr
01051033	21	6	gruene	5.1	ocr
01051034	20	7	without_certificate	93.3	ocr
01051034	20	7	with_certificate	6.7	ocr
01051034	20	7	number_voters	79.8	ocr
01051034	20	7	invalid_votes	0.6	ocr
01051034	21	7	spd	45.4	ocr
01051034	21	7	fdp	0.9	ocr
01051034	21	7	gruene	1.4	ocr
01051035	20	8	without_certificate	93.0	ocr
01051035	20	8	with_certificate	7.0	ocr
01051035	20	8	number_voters	82.8	ocr
01051035	20	8	invalid_votes	1.5	ocr
01051035	21	8	spd	25.0	visual
01051035	21	8	fdp	0.8	ocr
