ags	source_page	source_row	field	value	ocr	pdf_text	method
01051001	19	5	fsu	0	-		ocr_candidates_and_row_identities
01051001	19	5	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051002	18	6	eligible_voters	162	162	162	ocr_candidates_and_row_identities
01051002	18	6	without_certificate	152	152	152	ocr_candidates_and_row_identities
01051002	18	6	with_certificate	10	10	10	ocr_candidates_and_row_identities
01051002	18	6	number_voters	136	136	136	ocr_candidates_and_row_identities
01051002	18	6	invalid_votes	0			ocr_candidates_and_row_identities
01051002	19	6	valid_votes	136	136	136	ocr_candidates_and_row_identities
01051002	19	6	cdu	98	98	98	ocr_candidates_and_row_identities
01051002	19	6	spd	27	27	27	ocr_candidates_and_row_identities
01051002	19	6	fdp	2	2	2	ocr_candidates_and_row_identities
01051002	19	6	ssw	0	-		ocr_candidates_and_row_identities
01051002	19	6	dkp	0			ocr_candidates_and_row_identities
01051002	19	6	dgl	0	-		ocr_candidates_and_row_identities
01051002	19	6	gruene	9	9	9	ocr_candidates_and_row_identities
01051002	19	6	fp	0	-		ocr_candidates_and_row_identities
01051002	19	6	fsu	0	-		ocr_candidates_and_row_identities
01051002	19	6	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051003	18	7	eligible_voters	483	483	483	ocr_candidates_and_row_identities
01051003	18	7	without_certificate	466	466	~66	ocr_candidates_and_row_identities
01051003	18	7	with_certificate	17	17	17	ocr_candidates_and_row_identities
01051003	18	7	number_voters	377	377	377	ocr_candidates_and_row_identities
01051003	18	7	invalid_votes	3	3	3	ocr_candidates_and_row_identities
01051003	19	7	valid_votes	374	374%	37'>	visual
01051003	19	7	cdu	167	167	167	ocr_candidates_and_row_identities
01051003	19	7	spd	195	195	195	ocr_candidates_and_row_identities
01051003	19	7	fdp	1	1	1	ocr_candidates_and_row_identities
01051003	19	7	ssw	0	-		ocr_candidates_and_row_identities
01051003	19	7	dkp	1	1	1	ocr_candidates_and_row_identities
01051003	19	7	dgl	0	-		ocr_candidates_and_row_identities
01051003	19	7	gruene	10	10	10	ocr_candidates_and_row_identities
01051003	19	7	fp	0	-		ocr_candidates_and_row_identities
01051003	19	7	fsu	0	-		ocr_candidates_and_row_identities
01051003	19	7	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051004	18	8	eligible_voters	607	607	607	ocr_candidates_and_row_identities
01051004	18	8	without_certificate	568	568	568	ocr_candidates_and_row_identities
01051004	18	8	with_certificate	39	39	39	ocr_candidates_and_row_identities
01051004	18	8	number_voters	494	494	494	ocr_candidates_and_row_identities
01051004	18	8	invalid_votes	3	-3	. 3	ocr_candidates_and_row_identities
01051004	19	8	valid_votes	491	491	491	ocr_candidates_and_row_identities
01051004	19	8	cdu	295	295	295	ocr_candidates_and_row_identities
01051004	19	8	spd	172	172	172	ocr_candidates_and_row_identities
01051004	19	8	fdp	14	14	14	ocr_candidates_and_row_identities
01051004	19	8	ssw	0	-		ocr_candidates_and_row_identities
01051004	19	8	dkp	0			ocr_candidates_and_row_identities
01051004	19	8	dgl	0	-		ocr_candidates_and_row_identities
01051004	19	8	gruene	10	10	10	ocr_candidates_and_row_identities
01051004	19	8	fp	0	-		ocr_candidates_and_row_identities
01051004	19	8	fsu	0	-		ocr_candidates_and_row_identities
01051004	19	8	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051005	18	9	eligible_voters	160	160	160	ocr_candidates_and_row_identities
01051005	18	9	without_certificate	155	155	155	ocr_candidates_and_row_identities
01051005	18	9	with_certificate	5	5	5	ocr_candidates_and_row_identities
01051005	18	9	number_voters	136	136	136	ocr_candidates_and_row_identities
01051005	18	9	invalid_votes	0			ocr_candidates_and_row_identities
01051005	19	9	valid_votes	136	136	136	ocr_candidates_and_row_identities
01051005	19	9	cdu	91	91	91	ocr_candidates_and_row_identities
01051005	19	9	spd	40	40	40	ocr_candidates_and_row_identities
01051005	19	9	fdp	1	1		ocr_candidates_and_row_identities
01051005	19	9	ssw	0			ocr_candidates_and_row_identities
01051005	19	9	dkp	0			ocr_candidates_and_row_identities
01051005	19	9	dgl	0	-		ocr_candidates_and_row_identities
01051005	19	9	gruene	4	4	4	ocr_candidates_and_row_identities
01051005	19	9	fp	0	-		ocr_candidates_and_row_identities
01051005	19	9	fsu	0	-		ocr_candidates_and_row_identities
01051005	19	9	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051006	18	10	eligible_voters	664	664	664	ocr_candidates_and_row_identities
01051006	18	10	without_certificate	605	605	605	ocr_candidates_and_row_identities
01051006	18	10	with_certificate	59	59	59	ocr_candidates_and_row_identities
01051006	18	10	number_voters	520	520	520	ocr_candidates_and_row_identities
01051006	18	10	invalid_votes	1	1	1	ocr_candidates_and_row_identities
01051006	19	10	valid_votes	519	519	519	ocr_candidates_and_row_identities
01051006	19	10	cdu	302	302	302	ocr_candidates_and_row_identities
01051006	19	10	spd	204	204	204	ocr_candidates_and_row_identities
01051006	19	10	fdp	2	2	2	ocr_candidates_and_row_identities
01051006	19	10	ssw	0	-		ocr_candidates_and_row_identities
01051006	19	10	dkp	0			ocr_candidates_and_row_identities
01051006	19	10	dgl	0	-		ocr_candidates_and_row_identities
01051006	19	10	gruene	11	11	11	ocr_candidates_and_row_identities
01051006	19	10	fp	0	-		ocr_candidates_and_row_identities
01051006	19	10	fsu	0	-		ocr_candidates_and_row_identities
01051006	19	10	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051008	18	11	eligible_voters	26	26	26	ocr_candidates_and_row_identities
01051008	18	11	without_certificate	24	24	24	ocr_candidates_and_row_identities
01051008	18	11	with_certificate	2	2	2	ocr_candidates_and_row_identities
01051008	18	11	number_voters	22	22	22	ocr_candidates_and_row_identities
01051008	18	11	invalid_votes	0			ocr_candidates_and_row_identities
01051008	19	11	valid_votes	22	22	22	ocr_candidates_and_row_identities
01051008	19	11	cdu	20	20	20	ocr_candidates_and_row_identities
01051008	19	11	spd	2	2	2	ocr_candidates_and_row_identities
01051008	19	11	fdp	0			ocr_candidates_and_row_identities
01051008	19	11	ssw	0			ocr_candidates_and_row_identities
01051008	19	11	dkp	0	.		ocr_candidates_and_row_identities
01051008	19	11	dgl	0	-		ocr_candidates_and_row_identities
01051008	19	11	gruene	0			ocr_candidates_and_row_identities
01051008	19	11	fp	0	-		ocr_candidates_and_row_identities
01051008	19	11	fsu	0	-		ocr_candidates_and_row_identities
01051008	19	11	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051010	18	12	eligible_voters	137	137	137	ocr_candidates_and_row_identities
01051010	18	12	without_certificate	127	127	127	ocr_candidates_and_row_identities
01051010	18	12	with_certificate	10	10	10	ocr_candidates_and_row_identities
01051010	18	12	number_voters	94	94	91t	ocr_candidates_and_row_identities
01051010	18	12	invalid_votes	1	1	1	ocr_candidates_and_row_identities
01051010	19	12	valid_votes	93	93	93	ocr_candidates_and_row_identities
01051010	19	12	cdu	76	76	76	ocr_candidates_and_row_identities
01051010	19	12	spd	17	17	17	ocr_candidates_and_row_identities
01051010	19	12	fdp	0			ocr_candidates_and_row_identities
01051010	19	12	ssw	0	-		ocr_candidates_and_row_identities
01051010	19	12	dkp	0			ocr_candidates_and_row_identities
01051010	19	12	dgl	0	-		ocr_candidates_and_row_identities
01051010	19	12	gruene	0			ocr_candidates_and_row_identities
01051010	19	12	fp	0	-		ocr_candidates_and_row_identities
01051010	19	12	fsu	0	-		ocr_candidates_and_row_identities
01051010	19	12	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051011	18	13	eligible_voters	9744	9744	9744	ocr_candidates_and_row_identities
01051011	18	13	without_certificate	8803	8803	8803	ocr_candidates_and_row_identities
01051011	18	13	with_certificate	941	941	941	ocr_candidates_and_row_identities
01051011	18	13	number_voters	7368	7368	7368	ocr_candidates_and_row_identities
01051011	18	13	invalid_votes	34	34	34	ocr_candidates_and_row_identities
01051011	19	13	valid_votes	7334	7334	7334	ocr_candidates_and_row_identities
01051011	19	13	cdu	3141	3141	3141	ocr_candidates_and_row_identities
01051011	19	13	spd	3839	3839	3839	ocr_candidates_and_row_identities
01051011	19	13	fdp	134	134	134	ocr_candidates_and_row_identities
01051011	19	13	ssw	0	-		ocr_candidates_and_row_identities
01051011	19	13	dkp	23	23	23	ocr_candidates_and_row_identities
01051011	19	13	dgl	0	-		ocr_candidates_and_row_identities
01051011	19	13	gruene	197	197	197	ocr_candidates_and_row_identities
01051011	19	13	fp	0	-		ocr_candidates_and_row_identities
01051011	19	13	fsu	0	-		ocr_candidates_and_row_identities
01051011	19	13	einzelbewerber_llsh	0	-		ocr_candidates_and_row_identities
01051012	18	14	eligible_voters	691	691	691	ocr_candidates_and_row_identities
01051012	18	14	without_certificate	644	644	644	ocr_candidates_and_row_identities
01051012	18	14	with_certificate	47	47	47	ocr_candidates_and_row_identities
01051012	18	14	number_voters	566	566	566	ocr_candidates_and_row_identities
01051012	18	14	invalid_votes	1	1	1	ocr_candidates_and_row_identities
01051012	19	14	valid_votes	565	565	565	ocr_candidates_and_row_identities
01051012	19	14	cdu	344	344	344	ocr_candidates_and_row_identities
01051012	19	14	spd	185	185	185	ocr_candidates_and_row_identities
01051012	19	14	fdp	11	11	11	ocr_candidates_and_row_identities
01051012	19	14	ssw	0	-		ocr_candidates_and_row_identities
01051012	19	14	dkp	1	1	1	ocr_candidates_and_row_identities
01051012	19	14	dgl	0	-		ocr_candidates_and_row_identities
01051012	19	14	gruene	24	24	24	ocr_candidates_and_row_identities
